_id,name,parentId,level,isActive,order,merchantCount,productCount,createdAt,updatedAt,slug,__v
6a71aaecb4323dda529a4bdb,Electronics & Gadgets,,0,true,1,0,5,2026-08-04T09:03:40.337Z,2026-08-04T15:01:54.788Z,electronics-gadgets,0
6a71aaecb4323dda529a4bde,Smartphones & Accessories,6a71aaecb4323dda529a4bdb,1,true,1,0,0,2026-08-04T09:03:40.357Z,2026-08-04T09:03:40.357Z,smartphones-accessories,0
6a71aaecb4323dda529a4bec,"Cases, Covers & Screen Protectors",6a71aaecb4323dda529a4bde,2,true,2,0,0,2026-08-04T09:03:40.431Z,2026-08-04T09:03:40.431Z,cases-covers-screen-protectors,0
6a71aaecb4323dda529a4bf0,Smartwatches & Fitness Bands,6a71aaecb4323dda529a4bde,2,true,4,0,0,2026-08-04T09:03:40.460Z,2026-08-04T09:03:40.460Z,smartwatches-fitness-bands,0
6a71aaecb4323dda529a4bf6,Computer Components,6a71aaecb4323dda529a4be0,2,true,3,0,0,2026-08-04T09:03:40.493Z,2026-08-04T09:03:40.493Z,computer-components,0
6a71aaecb4323dda529a4bfa,Wireless Earbuds & In-Ear Headphones,6a71aaecb4323dda529a4be3,2,true,1,0,0,2026-08-04T09:03:40.520Z,2026-08-04T09:03:40.520Z,wireless-earbuds-inear-headphones,0
6a71aaecb4323dda529a4c0a,Fashion & Apparel,,0,true,2,0,15,2026-08-04T09:03:40.610Z,2026-08-04T11:08:53.609Z,fashion-apparel,0
6a71aaecb4323dda529a4c0c,Men's Clothing,6a71aaecb4323dda529a4c0a,1,true,1,0,0,2026-08-04T09:03:40.622Z,2026-08-04T09:03:40.622Z,mens-clothing,0
6a71aaecb4323dda529a4c0e,Women's Clothing,6a71aaecb4323dda529a4c0a,1,true,2,0,0,2026-08-04T09:03:40.641Z,2026-08-04T09:03:40.641Z,womens-clothing,0
6a71aaecb4323dda529a4c10,Footwear,6a71aaecb4323dda529a4c0a,1,true,3,0,0,2026-08-04T09:03:40.652Z,2026-08-04T09:03:40.652Z,footwear,0
6a71aaecb4323dda529a4c12,Accessories,6a71aaecb4323dda529a4c0a,1,true,4,0,0,2026-08-04T09:03:40.666Z,2026-08-04T09:03:40.666Z,accessories,0
